,,Algebra,Calculus
Race,Gender,Est. [95\% CI],Est. [95\% CI]
Asian,Female,"0.11 [0.07, 0.15]","0.13 [0.09, 0.20]\\"
Asian,Male,"0.18 [0.13, 0.25]","0.21 [0.16, 0.27]\\"
Black,Female,"0.07 [0.03, 0.15]","0.09 [0.03, 0.23]\\"
Black,Male,"0.20 [0.10, 0.35]","0.22 [0.13, 0.35]\\"
Hispanic,Female,"0.08 [0.04, 0.16]","0.14 [0.07, 0.25]\\"
Hispanic,Male,"0.10 [0.05, 0.20]","0.13 [0.08, 0.20]\\"
White,Female,"0.17 [0.14, 0.20]","0.28 [0.23, 0.35]\\"
White,Male,"0.20 [0.17, 0.24]","0.36 [0.32, 0.41]\\"
WhiteHispanic,Female,"0.09 [0.06, 0.16]","0.19 [0.11, 0.31]\\"
WhiteHispanic,Male,"0.16 [0.10, 0.25]","0.27 [0.20, 0.35]\\"
