"","group","Q","U","B","T","LCL","UCL","SE","race","gender","instruction","race_gender","time","Time","gender_time"
"1","Asian Female",53.2073580540509,1.43505537394401,0.288838734909058,1.75277798234397,50.6124646271502,55.8022514809517,1.32392521780649,"Asian","Female",NA,"Asian Female","Post","Post","Post Female"
"2","Asian Male",54.8523708953858,2.30344742999611,0.260683395069752,2.59019916457284,51.6979281378416,58.00681365293,1.60940957017561,"Asian","Male",NA,"Asian Male","Post","Post","Post Male"
"3","Black Female",48.7633198771742,3.59129856522052,2.17881940639121,5.98799991225085,43.9671234192607,53.5595163350878,2.44703900913959,"Black","Female",NA,"Black Female","Post","Post","Post Female"
"4","Black Male",55.5134800500606,8.0087281472112,2.55979858085465,10.8245065861513,49.0649589404294,61.9620011596918,3.29006179062815,"Black","Male",NA,"Black Male","Post","Post","Post Male"
"5","Hispanic Female",55.6386064916,4.42543147893943,0.51107869320394,4.98761804146377,51.2613432520761,60.0158697311238,2.23329757118566,"Hispanic","Female",NA,"Hispanic Female","Post","Post","Post Female"
"6","Hispanic Male",54.6531782347062,4.82575208060868,0.853301599520613,5.76438384008135,49.9473885071411,59.3589679622712,2.40091312630869,"Hispanic","Male",NA,"Hispanic Male","Post","Post","Post Male"
"7","White Female",54.954779354313,0.715345558187791,0.0676161382823203,0.789723310298343,53.2129983494671,56.6965603591589,0.88866377798262,"White","Female",NA,"White Female","Post","Post","Post Female"
"8","White Male",59.8282182308164,0.849847953642472,0.0783149943109141,0.935994447384478,57.9319808329487,61.7244556286841,0.967468060136601,"White","Male",NA,"White Male","Post","Post","Post Male"
"9","WhiteHispanic Female",53.8856389499967,2.7344764253351,0.225906197885289,2.98297324300892,50.500466870125,57.2708110298684,1.72712861217945,"WhiteHispanic","Female",NA,"WhiteHispanic Female","Post","Post","Post Female"
"10","WhiteHispanic Male",55.9883446087686,3.52363019132324,1.12828502161179,4.76474371509621,51.7099991977582,60.266690019779,2.18282929133183,"WhiteHispanic","Male",NA,"WhiteHispanic Male","Post","Post","Post Male"
"11","Asian Female",53.5640178025568,1.05246990721139,0.108972886450058,1.17234008230646,51.4418345729113,55.6862010322022,1.08274654573748,"Asian","Female",NA,"Asian Female","Pre","Pre","Pre Female"
"12","Asian Male",57.3583149299217,1.78832965686407,0.277055873455469,2.09309111766509,54.5226811669646,60.1939486928788,1.44675191987607,"Asian","Male",NA,"Asian Male","Pre","Pre","Pre Male"
"13","Black Female",51.3000880992536,2.87207746735215,0.286925587234503,3.1876956133101,47.8006807968534,54.7994954016538,1.78541188897971,"Black","Female",NA,"Black Female","Pre","Pre","Pre Female"
"14","Black Male",54.7943328227981,6.58717854626225,0.501945536876503,7.1393186368264,49.5573101500161,60.03135549558,2.6719503432561,"Black","Male",NA,"Black Male","Pre","Pre","Pre Male"
"15","Hispanic Female",53.8681102624879,3.57846319601134,0.173528483525928,3.76934452788986,50.0628094940412,57.6734110309347,1.94147998390142,"Hispanic","Female",NA,"Hispanic Female","Pre","Pre","Pre Female"
"16","Hispanic Male",55.5159286683261,3.89367044767575,0.301462482503139,4.22527917842921,51.4870538264064,59.5448035102458,2.05554838873455,"Hispanic","Male",NA,"Hispanic Male","Pre","Pre","Pre Male"
"17","White Female",56.2678045131425,0.471734849796996,0.0362529079560861,0.511613048548691,54.8658727432961,57.6697362829889,0.715271311146121,"White","Female",NA,"White Female","Pre","Pre","Pre Female"
"18","White Male",59.3739637191814,0.583789665246133,0.0356394023390575,0.622993007819096,57.826937559468,60.9209898788949,0.789299061078306,"White","Male",NA,"White Male","Pre","Pre","Pre Male"
"19","WhiteHispanic Female",53.8264070849895,2.1590026244688,0.211876628260138,2.39206691555495,50.7950106637348,56.8578035062442,1.54663082717077,"WhiteHispanic","Female",NA,"WhiteHispanic Female","Pre","Pre","Pre Female"
"20","WhiteHispanic Male",55.6608626218944,2.82183113453969,0.308308952285775,3.16097098205404,52.1761551557419,59.1455700880469,1.77791197252677,"WhiteHispanic","Male",NA,"WhiteHispanic Male","Pre","Pre","Pre Male"
