"","group","Q","U","B","T","LCL","UCL","SE","race","gender","instruction","race_gender","time","Time","gender_time"
"1","Asian Female",56.1195212845587,2.34131648200623,0.437810177484109,2.82290767723875,52.8264251528188,59.4126174162987,1.6801510876224,"Asian","Female",NA,"Asian Female","Post","Post","Post Female"
"2","Asian Male",59.1358554922695,1.40604500426434,0.495380262735016,1.95096329327286,56.3981884950916,61.8735224894474,1.39676887611117,"Asian","Male",NA,"Asian Male","Post","Post","Post Male"
"3","Black Female",52.1649538851366,6.95019586745874,1.53972459868581,8.64389292601313,46.4024562439595,57.9274515263137,2.94004981692711,"Black","Female",NA,"Black Female","Post","Post","Post Female"
"4","Black Male",56.5077856139734,4.89608879023473,1.93139334274769,7.0206214672572,51.3144803631129,61.7010908648339,2.64964553615332,"Black","Male",NA,"Black Male","Post","Post","Post Male"
"5","Hispanic Female",54.0803163070465,5.5242827390849,0.98170180209343,6.60415472138768,49.0434005069082,59.1172321071848,2.56985500007056,"Hispanic","Female",NA,"Hispanic Female","Post","Post","Post Female"
"6","Hispanic Male",55.0851423303654,2.7505001335927,1.00951519356793,3.86096684651742,51.2338710808192,58.9364135799116,1.96493431099297,"Hispanic","Male",NA,"Hispanic Male","Post","Post","Post Male"
"7","White Female",60.9111970035546,1.13962528335416,0.550587844982887,1.74527191283534,58.3218657037113,63.5005283033979,1.32108739787924,"White","Female",NA,"White Female","Post","Post","Post Female"
"8","White Male",64.6672950037566,0.640606712040592,0.574395370026606,1.27244161906986,62.4563649452024,66.8782250623109,1.12802554007871,"White","Male",NA,"White Male","Post","Post","Post Male"
"9","WhiteHispanic Female",57.878767278831,4.98657134990155,1.67111627601476,6.82479925351779,52.758401196966,62.999133360696,2.61243167442094,"WhiteHispanic","Female",NA,"WhiteHispanic Female","Post","Post","Post Female"
"10","WhiteHispanic Male",61.2172867139909,2.05259915248828,1.11785152062036,3.28223582517068,57.6663661085738,64.768207319408,1.81169418643729,"WhiteHispanic","Male",NA,"WhiteHispanic Male","Post","Post","Post Male"
"11","Asian Female",56.2425576985279,1.87383372907561,0.2061091441251,2.10055378761322,53.4018733741978,59.083242022858,1.44932873690313,"Asian","Female",NA,"Asian Female","Pre","Pre","Pre Female"
"12","Asian Male",60.3754389346868,1.16389105249387,0.172391074931027,1.353521234918,58.0951566767062,62.6557211926674,1.16340931529621,"Asian","Male",NA,"Asian Male","Pre","Pre","Pre Male"
"13","Black Female",57.8156139957458,5.3446917497446,0.524519452549758,5.92166314754933,53.0460583405903,62.5851696509012,2.43344676283442,"Black","Female",NA,"Black Female","Pre","Pre","Pre Female"
"14","Black Male",61.4161217740845,3.79381920533897,1.06692177901105,4.96743316225112,57.0477249015345,65.7845186466344,2.22877391456628,"Black","Male",NA,"Black Male","Pre","Pre","Pre Male"
"15","Hispanic Female",56.2110867870266,4.26888945516033,0.455733453182831,4.77019625366145,51.9302941118243,60.4918794622289,2.18407789551139,"Hispanic","Female",NA,"Hispanic Female","Pre","Pre","Pre Female"
"16","Hispanic Male",58.563468770302,2.19312867795853,0.253517981951291,2.47199845810495,55.4818410710729,61.6450964695311,1.57225903021893,"Hispanic","Male",NA,"Hispanic Male","Pre","Pre","Pre Male"
"17","White Female",63.9367087002512,0.959159416636426,0.0601841480770117,1.02536197952114,61.9520095843829,65.9214078161195,1.01260158972872,"White","Female",NA,"White Female","Pre","Pre","Pre Female"
"18","White Male",67.0613928923324,0.578612626608285,0.0743853785583795,0.660436543022502,65.4685548517033,68.6542309329615,0.81267246970874,"White","Male",NA,"White Male","Pre","Pre","Pre Male"
"19","WhiteHispanic Female",60.0070618709941,3.86241200430649,0.0807839095140072,3.9512743047719,56.1110106175823,63.9031131244059,1.98778125174072,"WhiteHispanic","Female",NA,"WhiteHispanic Female","Pre","Pre","Pre Female"
"20","WhiteHispanic Male",64.5727862525881,1.64639173119799,0.127321183282566,1.78644503280881,61.9530902324289,67.1924822727474,1.33657960212208,"WhiteHispanic","Male",NA,"WhiteHispanic Male","Pre","Pre","Pre Male"
