course_id,institution_id,institution_name,ccihe_id,term,year,instructor,course_name,course_number,math,level
706,228,Agnes Scott College,138600,Fall,2017,"Wallace, Paul",Elements of Physics I,PHY 102,algebra,1
708,228,Agnes Scott College,138600,Fall,2017,"Wallace, Paul",Elements of Physics I,PHY 102,algebra,1
1152,228,Agnes Scott College,138600,Fall,2018,"Wallace, Paul",Elements of Physics I,PHY 102,algebra,1
1153,228,Agnes Scott College,138600,Fall,2018,"Wallace, Paul",Elements of Physics I,PHY 102,algebra,1
1207,228,Agnes Scott College,138600,Fall,2018,"Wallace, Paul",Elements of Physics I,PHY 102,algebra,1
136,228,Agnes Scott College,138600,Fall,2015,"Ackerman, Nicole",Intro Physics I: Mechanics,PHY 202,calculus,1
660,228,Agnes Scott College,138600,Fall,2017,"Ackerman, Nicole",Intro Physics I: Mechanics,PHY 202,calculus,1
1136,228,Agnes Scott College,138600,Fall,2018,"Ackerman, Nicole",Intro Physics I: Mechanics,PHY 202,calculus,1
366,228,Agnes Scott College,138600,Fall,2016,"Ackerman, Nicole",Intro Physics I: Mechanics,PHY 202,calculus,1
813,228,Agnes Scott College,138600,Spring,2018,"Ackerman, Nicole",Intro Physics II: E&M,PHY 203,calculus,2
201,228,Agnes Scott College,138600,Spring,2016,"Ackerman, Nicole",Intro Physics II: E&M,PHY 203,calculus,2
1259,228,Agnes Scott College,138600,Spring,2019,"Ackerman, Nicole",Intro Physics II: E&M,PHY 203,calculus,2
515,228,Agnes Scott College,138600,Spring,2017,"Clemmons, Hannah",Intro Physics II: E&M,PHY 203,calculus,2
524,228,Agnes Scott College,138600,Spring,2017,"Clemmons, Hannah",Physic 103,Phy 103,algebra,2
525,228,Agnes Scott College,138600,Spring,2017,"Clemmons, Hannah",Physic 103,Phy 103,algebra,2
832,228,Agnes Scott College,138600,Spring,2018,"Wallace, Paul",Physic 103,Phy 103,algebra,2
833,228,Agnes Scott College,138600,Spring,2018,"Wallace, Paul",Physic 103,Phy 103,algebra,2
1326,228,Agnes Scott College,138600,Spring,2019,"Wallace, Paul",Physic 103,Phy 103,algebra,2
