"","assessment_sequence_label","course_id","institution_id","institution_name","ccihe_id","term","year","instructor","course_name","course_number","math","level"
"1","CLASS",661,225,"California State University-Chico",110538,"Fall","2017","Van Dusen, Ben","Concepts in Physical Science","SCED 141","other","other"
"2","CLASS",653,117,"California State University",NA,"Fall","2017","Margoniner, Vera","Introduction to Physics: Mechanics (Margoniner)","PHYS 11","calculus","1"
"3","CLASS",663,117,"California State University",NA,"Fall","2017","Margoniner, Vera","Introduction to Physics: Mechanics (Margoniner)","PHYS 11","calculus","1"
"4","Attitudes about Science",671,114,"Western Illinois University",149772,"Fall","2017","Rabchuk, James","University Physics 1","PHYS 211","calculus","1"
"5","CLASS",675,225,"California State University-Chico",110538,"Fall","2017","Arpin, Paul","Mechanics","PHYS 204","calculus","1"
"6","CLASS.1520.F17",668,92,"Chicago State University",144005,"Fall","2017","Sabella, Mel","Physics 2 alg","PHYS 1520",NA,NA
"7","CLASS.2110.F17",665,92,"Chicago State University",144005,"Fall","2017","Sabella, Mel","Physics 1 calc","PHYS 2110",NA,NA
"8","CLASS.2220.F17",667,92,"Chicago State University",144005,"Fall","2017","Sabella, Mel","Physics 2 calc","PHYS 2220","calculus","2"
"9","CLASS - Pre",679,235,"East Carolina University",198464,"Fall","2017","Wolf, Steven","University Physics I","PHYS 2350","calculus","1"
"10","Attitude Survey",684,137,"California State University, Sacramento",NA,"Fall","2017","Block, Matthew","General Mechanics (calc-based)","Phys 11","calculus","2"
"11","CLASS-PHYS",648,25,"George Mason University",232186,"Fall","2017","Dreyfus, Benjamin","College Physics I","PHYS 243","algebra","1"
"12","CLASS-PHYS",703,218,"University of Southern Maine",161554,"Fall","2017","Nakroshis, Paul","General Physics I","PHY 121",NA,NA
"13","Attitudes Survey",709,137,"California State University, Sacramento",NA,"Fall","2017","Morris, Eliza","General Mechanics (calc-based)","Phys 11","calculus","1"
"14","PY105 pre-test",715,7,"Boston University",164988,"Fall","2017","Duffy, Andrew","Elementary Physics 1","PY 105","algebra","1"
"15","PY105 pre-test",716,7,"Boston University",164988,"Fall","2017","Duffy, Andrew","Elementary Physics 1","PY 105",NA,NA
"16","PY105 pre-test",717,7,"Boston University",164988,"Fall","2017","Duffy, Andrew","Elementary Physics 1","PY 105","algebra","1"
"17","PY105 pre-test",718,7,"Boston University",164988,"Fall","2017","Duffy, Andrew","Elementary Physics 1","PY 105","algebra","1"
"18","PY105 pre-test",719,7,"Boston University",164988,"Fall","2017","Duffy, Andrew","Elementary Physics 1","PY 105","algebra","1"
"19","Fall17 Attitudes",720,7,"Boston University",164988,"Fall","2017","Jariwala, Manher","General Physics 1","PY 211","calculus","1"
"20","F17",724,213,"Rowan University",184782,"Fall","2017","Claar, Rodger","Physics of Everyday Life","PHYS 150","other","other"
"21","Thinking about Physics Survey",742,354,"South Seattle College",236504,"Fall","2017","Daane, Abigail","Engineering Physics I","PHYS 221","calculus","1"
"22","F17",744,213,"Rowan University",184782,"Fall","2017","Vitale, Timothy","Physics of Everyday Life","PHYS 150","other","other"
"23","Physics Survey",765,46,"Seattle Pacific University",236577,"Fall","2017","Gray, Kara","General Physics 1","Phy 1101","algebra","1"
"24","Physics Survey",766,46,"Seattle Pacific University",236577,"Fall","2017","Gray, Kara","Physics for Future Elementary Teachers","PHY 2567","other","other"
"25",NA,989,225,"California State University-Chico",110538,"Fall","2018","Van Dusen, Ben","Concepts in Physical Science","SCED 141","other","other"
"26",NA,988,225,"California State University-Chico",110538,"Fall","2018","Van Dusen, Ben","Concepts in Physical Science","SCED 141","other","other"
"27",NA,1026,72,"West Virginia University",238032,"Fall","2018","Miller, Paul","Conceptual Physics","PHYS 105","other","other"
"28",NA,1062,242,"University of Nebraska-Omaha",NA,"Fall","2018","Moore, James","Pedagogical Content Knowledge in Physics","PHYS 8110","other","la"
"29",NA,1065,33,"North Dakota State University",NA,"Fall","2018","Christensen, Warren","University Physics","Phys 251","calculus","1"
"30",NA,1106,225,"California State University-Chico",110538,"Fall","2018","Arpin, Paul","Mechanics","PHYS 204","calculus","1"
"31",NA,1108,25,"George Mason University",232186,"Fall","2018","Dreyfus, Benjamin","College Physics II","PHYS 245","algebra","2"
"32",NA,1107,7,"Boston University",164988,"Fall","2018","Gross, Nicholas","Physics for Health Sciences","PY 104","algebra","1"
"33",NA,1143,375,"Tennessee Technological University",221847,"Fall","2018","Engelhardt, Paula","Algebra-based Physics I","null 2010","algebra","1"
"34",NA,1144,375,"Tennessee Technological University",221847,"Fall","2018","Engelhardt, Paula","Algebra-based Physics I","null 2010","algebra","1"
"35",NA,1145,375,"Tennessee Technological University",221847,"Fall","2018","Engelhardt, Paula","Algebra-based Physics I","null 2010","algebra","1"
"36",NA,1151,156,"Texas State University",228459,"Fall","2018","Close, Eleanor","Physics Cognition and Pedagogy","PHYS 3210","other","la"
"37",NA,1156,7,"Boston University",164988,"Fall","2018","Jariwala, Manher","General Physics 1","PY 211","calculus","1"
"38",NA,1193,247,"University of Utah",230764,"Fall","2018","May, Jason","General Physics Laboratory I","2117 2015","algebra","1"
"39",NA,1211,46,"Seattle Pacific University",236577,"Fall","2018","Goodhew, Lisa","PHY 1121","PHY 1121",NA,NA
"40",NA,1212,46,"Seattle Pacific University",236577,"Fall","2018","Goodhew, Lisa","PHY 1121","PHY 1121",NA,NA
"41",NA,1217,218,"University of Southern Maine",161554,"Fall","2018","Nakroshis, Paul","Introductory Physics Lab I","PHY 114","algebra","1"
"42",NA,1218,218,"University of Southern Maine",161554,"Fall","2018","Nakroshis, Paul","Introductory Physics Lab I","PHY 114",NA,NA
"43","CLASS-PHYS",775,247,"University of Utah",230764,"Spring","2018","Beehler, Adam","General Physics I","PHYS 2010","algebra","1"
"44","CLASS",817,213,"Rowan University",184782,"Spring","2018","Claar, Rodger","Physics of Everyday Life","PHYS 150","other","other"
"45","CLASS",818,213,"Rowan University",184782,"Spring","2018","Vitale, Timothy","Physics of Everyday Life","PHYS 150","other","other"
"46","CLASS",830,235,"East Carolina University",198464,"Spring","2018","Wolf, Steven","University Physics 2","PHYS 2360","calculus","2"
"47","CLASS-PHYS",839,25,"George Mason University",232186,"Spring","2018","Dreyfus, Benjamin","College Physics II","PHYS 245","algebra","2"
"48","CLASS",849,137,"California State University, Sacramento",NA,"Spring","2018","Morris, Eliza","General Mechanics (calc-based)","Phys 11",NA,NA
"49","Spr18 Attitudes",850,7,"Boston University",164988,"Spring","2018","Jariwala, Manher","General Physics 2","PY 212","calculus","2"
"50","P221 S18",854,122,"City Colleges of Chicago - Harold Washington College",NA,"Spring","2018","Escuadro, Anthony","Mechanics, Heat and Waves","PHYS 221",NA,NA
"51","CLASS",877,225,"California State University-Chico",110538,"Spring","2018","Van Dusen, Ben","Concepts in Physical Science","SCED 141","other","other"
"52","CLASS_pre",881,225,"California State University-Chico",110538,"Spring","2018","Petrova-Mayor, Anna","Mechanics","PHYS 204",NA,NA
