"","group","Q","U","B","T","LCL","UCL","SE","race","gender","instruction","race_gender"
"1","Asian Female",-1.85786163202996,0.054367255685316,0.0064888708352035,0.0615050136040398,-2.34394563738426,-1.37177762667566,0.248002043548112,"Asian","Female",NA,"Asian Female"
"2","Asian Male",-1.30983161453982,0.026072619012875,0.00293523330434252,0.0293013756476517,-1.64533744859941,-0.974325780480232,0.171176445948769,"Asian","Male",NA,"Asian Male"
"3","Black Female",-2.26877999170286,0.236158586054025,0.0595565149738318,0.30167075252524,-3.34530140946516,-1.19225857394055,0.549245621307299,"Black","Female",NA,"Black Female"
"4","Black Male",-1.27061685869217,0.0915325795196489,0.014931630146009,0.107957372680259,-1.91461145718542,-0.626622260198921,0.328568672700638,"Black","Male",NA,"Black Male"
"5","Hispanic Female",-1.7991570589085,0.127589808136074,0.00546132880861923,0.133597269825555,-2.51555588062853,-1.08275823718846,0.365509602918384,"Hispanic","Female",NA,"Hispanic Female"
"6","Hispanic Male",-1.93254495321834,0.0731438338750933,0.00689082344217682,0.0807237396614878,-2.4894186536959,-1.37567125274078,0.284119234937531,"Hispanic","Male",NA,"Hispanic Male"
"7","White Female",-0.923778650435847,0.0189592431861678,0.00328796519787651,0.0225760049038319,-1.21827479716541,-0.629282503706283,0.150253136086512,"White","Female",NA,"White Female"
"8","White Male",-0.55925169406372,0.0100037018832404,0.00103387344750318,0.0111409626754939,-0.766131181239654,-0.352372206887786,0.105550758763232,"White","Male",NA,"White Male"
"9","WhiteHispanic Female",-1.42651191922234,0.0991452948035806,0.00366109718349403,0.103172501705424,-2.05607326059549,-0.796950577849196,0.321204766006708,"WhiteHispanic","Female",NA,"WhiteHispanic Female"
"10","WhiteHispanic Male",-0.983317734097309,0.0344845567584644,0.00356875872031987,0.0384101913508163,-1.36744868975344,-0.599186778441174,0.195985181457212,"WhiteHispanic","Male",NA,"WhiteHispanic Male"
